time,seconds_elapsed,z,y,x
1701290496076652000,0.038652099609375,-0.09391766041517258,0.10118665546178818,-0.07871407270431519
1701290496086727200,0.04872705078125,-0.10376038402318954,0.09470964223146439,-0.10299593955278397
1701290496096802000,0.058802001953125,-0.11585060507059097,0.08162126690149307,-0.15701869130134583
1701290496106878000,0.0688779296875,-0.12625646591186523,0.04604392498731613,-0.20973952114582062
1701290496116953000,0.078953125,-0.13362357020378113,0.007737015374004841,-0.24859771132469177
1701290496127028000,0.089028076171875,-0.13407780230045319,-0.03475647792220116,-0.2793288826942444
1701290496137104100,0.099104248046875,-0.08845625072717667,-0.23396705090999603,-0.29194745421409607
1701290496147179000,0.109178955078125,-0.11331963539123535,-0.17679794132709503,-0.22107474505901337
1701290496157254000,0.11925390625,-0.14959107339382172,-0.06793536990880966,-0.2247786670923233
1701290496167330000,0.129330078125,-0.1568412482738495,-0.05866319313645363,-0.2459382265806198
1701290496177405200,0.1394052734375,-0.17089980840682983,-0.05094721540808678,-0.22642391920089722
1701290496187480000,0.14947998046875,-0.22995425760746002,-0.015981726348400116,-0.20462454855442047
1701290496197555000,0.159554931640625,-0.30604287981987,0.024923361837863922,-0.18208754062652588
1701290496207631000,0.169631103515625,-0.35376957058906555,0.011723845265805721,-0.1950671523809433
1701290496217706000,0.1797060546875,-0.3780304491519928,-0.023726556450128555,-0.2345232218503952
1701290496227781000,0.189781005859375,-0.3973585069179535,-0.017818428575992584,-0.2814429700374603
1701290496237857000,0.19985693359375,-0.41127753257751465,0.01674594171345234,-0.3253808617591858
1701290496247932000,0.209931884765625,-0.43950730562210083,0.04145249351859093,-0.37536680698394775
1701290496258007000,0.220007080078125,-0.4762812852859497,0.05440450832247734,-0.42112550139427185
1701290496268083200,0.230083251953125,-0.538568913936615,0.06982673704624176,-0.4830586314201355
1701290496278157800,0.24015771484375,-0.6381943225860596,0.16854186356067657,-0.5888809561729431
1701290496288233000,0.25023291015625,-0.7777228951454163,0.28590989112854004,-0.7431456446647644
1701290496298309000,0.26030908203125,-0.9158504009246826,0.41005343198776245,-0.8113790154457092
1701290496308384300,0.27038427734375,-1.0478858947753906,0.4408055543899536,-0.7946251630783081
1701290496318459100,0.280459228515625,-1.162328839302063,0.4090798497200012,-0.7443438768386841
1701290496328534000,0.290533935546875,-1.1574126482009888,0.6233641505241394,-0.56180739402771
1701290496338610200,0.300610107421875,-1.073333978652954,0.6772971153259277,-0.42401257157325745
1701290496348685000,0.31068505859375,-0.9472472071647644,0.6433517932891846,-0.4239276647567749
1701290496358760200,0.32076025390625,-0.8635216951370239,0.6124644875526428,-0.5210491418838501
1701290496368836000,0.330836181640625,-0.864490270614624,0.5561639070510864,-0.6115151643753052
1701290496378911000,0.340910888671875,-0.8820415735244751,0.5034838914871216,-0.6646260023117065
1701290496388986000,0.350986083984375,-0.8995516300201416,0.49355340003967285,-0.7042408585548401
1701290496399062300,0.361062255859375,-0.9254719018936157,0.48314014077186584,-0.7605088949203491
1701290496409137000,0.371136962890625,-0.9628770351409912,0.4295123517513275,-0.8535621166229248
1701290496419212000,0.3812119140625,-1.0065385103225708,0.34075742959976196,-0.9186452031135559
1701290496429288200,0.3912880859375,-1.00491464138031,0.23013895750045776,-0.9120644927024841
1701290496439363000,0.401363037109375,-0.9774852395057678,0.12745653092861176,-0.8035710453987122
1701290496449438200,0.411438232421875,-0.9694532752037048,0.08225127309560776,-0.6618191599845886
1701290496459514000,0.42151416015625,-1.0104658603668213,0.08021342009305954,-0.5351986289024353
1701290496469589000,0.431589111328125,-1.0558421611785889,0.07373688369989395,-0.47355738282203674
1701290496479664000,0.4416640625,-1.2599985599517822,0.11265312135219574,-0.45542633533477783
1701290496489740000,0.451739990234375,-1.5268412828445435,0.2872045338153839,-0.39144638180732727
1701290496499815000,0.46181494140625,-1.6784610748291016,0.6751567721366882,-0.27253732085227966
1701290496509890000,0.47189013671875,-1.3812724351882935,1.5908894538879395,-0.04663020372390747
1701290496519965200,0.481965087890625,-1.1081348657608032,2.0271010398864746,-0.0877816304564476
1701290496530041000,0.492041015625,-1.0635020732879639,2.0080363750457764,-0.2360527068376541
1701290496540116000,0.502115966796875,-1.20388925075531,1.7494503259658813,-0.3293064534664154
1701290496550191000,0.512191162109375,-1.3773493766784668,1.418208360671997,-0.2943931221961975
1701290496560267000,0.52226708984375,-1.5294119119644165,0.9917382001876831,-0.2483462691307068
1701290496570342100,0.532342041015625,-1.615674614906311,0.44721418619155884,-0.2880013585090637
1701290496580417300,0.542417236328125,-1.574110984802246,-0.07760324329137802,-0.3975571393966675
1701290496590493000,0.552492919921875,-1.4350879192352295,-0.45669758319854736,-0.5431461334228516
1701290496600568000,0.562568115234375,-1.3530231714248657,-0.6632177829742432,-0.6822512745857239
1701290496610643200,0.572643310546875,-1.2547374963760376,-0.7036475539207458,-0.7820420861244202
1701290496620718800,0.58271875,-1.1266330480575562,-0.661864161491394,-0.794462263584137
1701290496630794000,0.5927939453125,-1.0632269382476807,-0.5503984689712524,-0.7554636597633362
1701290496640869000,0.602869140625,-1.0787475109100342,-0.3376976549625397,-0.7051895260810852
1701290496650945300,0.6129453125,-1.1579848527908325,-0.08390475809574127,-0.651569128036499
1701290496661020200,0.623020263671875,-1.3028109073638916,0.010935205034911633,-0.5939748287200928
1701290496671095000,0.633094970703125,-1.501638650894165,-0.021378297358751297,-0.510776698589325
1701290496681171200,0.643171142578125,-1.7189559936523438,-0.1654617041349411,-0.43360069394111633
1701290496691246000,0.65324609375,-1.8712257146835327,-0.4013809859752655,-0.3696622848510742
