time,seconds_elapsed,z,y,x
1701290496050204200,0.0122041015625,-0.340911865234375,0.5130157470703125,0.774444580078125
1701290496060279000,0.022279052734375,-0.341644287109375,0.5074005126953125,0.77154541015625
1701290496070355200,0.032355224609375,-0.3409423828125,0.516510009765625,0.78302001953125
1701290496080430000,0.04243017578125,-0.332794189453125,0.508880615234375,0.7853546142578125
1701290496090505200,0.052505126953125,-0.325408935546875,0.5196990966796875,0.790679931640625
1701290496100581000,0.0625810546875,-0.3228607177734375,0.5364990234375,0.779998779296875
1701290496110656000,0.072656005859375,-0.3338623046875,0.5538482666015625,0.7750091552734375
1701290496120731100,0.082731201171875,-0.3467254638671875,0.5468597412109375,0.767791748046875
1701290496130807000,0.09280712890625,-0.350128173828125,0.549224853515625,0.760162353515625
1701290496140882000,0.1028818359375,-0.352874755859375,0.4855194091796875,0.77020263671875
1701290496150957000,0.11295703125,-0.3771209716796875,0.5755615234375,0.7573394775390625
1701290496161032000,0.123031982421875,-0.3130950927734375,0.5479736328125,0.7693328857421875
1701290496171108000,0.133108154296875,-0.267730712890625,0.507537841796875,0.783966064453125
1701290496181183000,0.143182861328125,-0.29608154296875,0.51898193359375,0.7820892333984375
1701290496191257900,0.1532578125,-0.326385498046875,0.5019378662109375,0.758544921875
1701290496201334000,0.163333984375,-0.3342132568359375,0.487518310546875,0.75006103515625
1701290496211409200,0.1734091796875,-0.325164794921875,0.4770355224609375,0.754791259765625
1701290496221484300,0.183484375,-0.322296142578125,0.472076416015625,0.7543792724609375
1701290496231560000,0.193559814453125,-0.327484130859375,0.4763641357421875,0.746978759765625
1701290496241635000,0.203635009765625,-0.31951904296875,0.467071533203125,0.7415771484375
1701290496251710200,0.213710205078125,-0.296234130859375,0.4544525146484375,0.7174835205078125
1701290496261786000,0.2237861328125,-0.28314208984375,0.45452880859375,0.6953887939453125
1701290496271861000,0.233861083984375,-0.2942657470703125,0.4814300537109375,0.6973876953125
1701290496281937200,0.243937255859375,-0.2764434814453125,0.502105712890625,0.70465087890625
1701290496292012000,0.254011962890625,-0.2143402099609375,0.5186614990234375,0.677734375
1701290496302087200,0.264087158203125,-0.209991455078125,0.5675201416015625,0.6459808349609375
1701290496312163000,0.2741630859375,-0.2364501953125,0.5899810791015625,0.6074066162109375
1701290496322238000,0.284238037109375,-0.258941650390625,0.603485107421875,0.596527099609375
1701290496332313000,0.29431298828125,-0.284271240234375,0.544036865234375,0.7018890380859375
1701290496342388200,0.30438818359375,-0.2543182373046875,0.5529327392578125,0.7853240966796875
1701290496352464000,0.3144638671875,-0.2216033935546875,0.6667938232421875,0.76751708984375
1701290496362539000,0.3245390625,-0.2335968017578125,0.6950225830078125,0.730865478515625
1701290496372614100,0.3346142578125,-0.2356109619140625,0.6773834228515625,0.6740875244140625
1701290496382690000,0.34468994140625,-0.2317962646484375,0.63580322265625,0.63275146484375
1701290496392765000,0.354764892578125,-0.21063232421875,0.6207122802734375,0.6013031005859375
1701290496402840000,0.364840087890625,-0.1724090576171875,0.613311767578125,0.580474853515625
1701290496412916200,0.374916259765625,-0.1428070068359375,0.610321044921875,0.580718994140625
1701290496422991000,0.3849912109375,-0.1421966552734375,0.6293792724609375,0.587188720703125
1701290496433066200,0.395066162109375,-0.1776123046875,0.6477203369140625,0.5885162353515625
1701290496443142100,0.40514208984375,-0.2135772705078125,0.6822509765625,0.5780029296875
1701290496453217000,0.415217041015625,-0.22491455078125,0.694488525390625,0.5693206787109375
1701290496463292200,0.425292236328125,-0.2043609619140625,0.685516357421875,0.5404205322265625
1701290496473368000,0.4353681640625,-0.172821044921875,0.6899261474609375,0.52447509765625
1701290496483443000,0.44544287109375,-0.138580322265625,0.7279510498046875,0.5030975341796875
1701290496493518000,0.45551806640625,-0.157623291015625,0.8910980224609375,0.504852294921875
1701290496503593000,0.465593017578125,-0.1702117919921875,0.973907470703125,0.55517578125
1701290496513669000,0.475669189453125,-0.13043212890625,0.7568817138671875,0.611724853515625
1701290496523744000,0.485743896484375,0.0166778564453125,0.597808837890625,0.50982666015625
1701290496533819000,0.49581884765625,0.0612335205078125,0.703155517578125,0.390472412109375
1701290496543895000,0.50589501953125,-0.0437774658203125,0.8346405029296875,0.41058349609375
1701290496553970200,0.51597021484375,-0.2052001953125,0.9552459716796875,0.4980621337890625
1701290496564045000,0.526045166015625,-0.2926025390625,1.010223388671875,0.5616302490234375
1701290496574121000,0.536120849609375,-0.238067626953125,0.98870849609375,0.6158599853515625
1701290496584196000,0.546196044921875,-0.169952392578125,0.9546966552734375,0.6925811767578125
1701290496594271200,0.556271240234375,-0.1085968017578125,0.925628662109375,0.7827911376953125
1701290496604347000,0.566346923828125,-0.0638580322265625,0.8110809326171875,0.7686920166015625
1701290496614422000,0.576422119140625,-0.048370361328125,0.7681884765625,0.763153076171875
1701290496624497200,0.5864970703125,-0.0467376708984375,0.8140411376953125,0.7722320556640625
1701290496634573000,0.596572998046875,-0.0334014892578125,0.8590240478515625,0.740081787109375
1701290496644648200,0.606648193359375,-0.017547607421875,0.900360107421875,0.6715850830078125
1701290496654723000,0.61672314453125,-0.0077972412109375,0.9651336669921875,0.593536376953125
1701290496664799000,0.626799072265625,-0.0117950439453125,1.043487548828125,0.4917755126953125
1701290496674874000,0.6368740234375,-0.039642333984375,1.1335296630859375,0.400390625
1701290496684949200,0.64694921875,-0.0821533203125,1.2100372314453125,0.353179931640625
1701290496695024000,0.657024169921875,-0.099853515625,1.2520599365234375,0.344818115234375
1701290496705100000,0.66710009765625,-0.1046142578125,1.26190185546875,0.364410400390625
