time,seconds_elapsed,z,y,x
1701290234815127300,0.018127197265625,-0.0017339842161163688,-0.00031798143754713237,-0.014825551770627499
1701290234825202400,0.028202392578125,-0.004493818152695894,-0.013768009841442108,-0.034762509167194366
1701290234835278600,0.038278564453125,-0.007071757689118385,-0.011804195120930672,-0.04724021628499031
1701290234845353700,0.048353759765625,-0.017886055633425713,-0.010076869279146194,-0.04965490475296974
1701290234855429400,0.058429443359375,-0.017831994220614433,-0.01653902977705002,-0.029021264985203743
1701290234865504500,0.06850439453125,-0.022337796166539192,-0.01458719838410616,-0.008015049621462822
1701290234875580700,0.07858056640625,-0.02364381030201912,-0.0022562299855053425,0.004173972178250551
1701290234885655300,0.0886552734375,-0.012824985198676586,0.021864285692572594,0.01876969262957573
1701290234895731500,0.0987314453125,-0.011590076610445976,0.054784152656793594,0.028985844925045967
1701290234905806600,0.108806640625,-0.017856229096651077,0.08604300767183304,0.03837615251541138
1701290234915882500,0.118882568359375,-0.03286607190966606,0.12819817662239075,0.027841484174132347
1701290234925958400,0.12895849609375,-0.05312473699450493,0.17599765956401825,-0.002645584288984537
1701290234936033500,0.139033447265625,-0.08025568723678589,0.18074022233486176,-0.06608022004365921
1701290234946109400,0.149109375,-0.15123559534549713,0.19135132431983948,-0.16641400754451752
1701290234956184300,0.159184326171875,-0.17706160247325897,0.16861937940120697,-0.22884197533130646
1701290234966260500,0.169260498046875,-0.20613080263137817,0.11769600957632065,-0.21404491364955902
1701290234976335600,0.179335693359375,-0.2168084681034088,0.10925831645727158,-0.19527335464954376
1701290234986411500,0.18941162109375,-0.20438483357429504,0.1289995312690735,-0.16237320005893707
1701290234996486400,0.199486328125,-0.19653356075286865,0.13287895917892456,-0.1550806611776352
1701290235006562600,0.2095625,-0.18878082931041718,0.16976720094680786,-0.1600104421377182
1701290235016637400,0.219637451171875,-0.1863216757774353,0.19904546439647675,-0.1668662130832672
1701290235026713300,0.22971337890625,-0.17625412344932556,0.23185932636260986,-0.1680326759815216
1701290235036788500,0.23978857421875,-0.16208744049072266,0.1875123679637909,-0.16190208494663239
1701290235046864400,0.249864501953125,-0.10415676236152649,0.14582830667495728,-0.13952940702438354
